CustomerID,CustomerFirstName,CustomerLastName,CustomerAddress,CustomerCity,CustomerState,CustomerZipCode,CustomerPhoneNumber,UsedDiscount,CustomerTierID,ReturnedProduct,Velocity Bin
1061,Michelle,Irwin,413 William Brooks Suite 589,Alyssashire,NH,62043,323-6035,TRUE,3,FALSE,E: 20-30 Days
1062,Richard,Diaz,461 Meredith River Suite 737,North Samanthaton,AK,93406,331-6300,TRUE,3,FALSE,E: 20-30 Days
1071,David,Walker,53579 Montgomery Hollow,Robertshire,NY,73350,530-4013,TRUE,3,FALSE,E: 20-30 Days
1075,Jason,Nelson,712 Smith Cape,Loganborough,NC,44485,055-2808,TRUE,3,FALSE,E: 20-30 Days
1096,Virginia,Rice,33954 Smith Forks Apt. 837,East Catherinemouth,FM,82769,450-8476,TRUE,3,FALSE,E: 20-30 Days
1114,Gregory,Williams,41995 Best Station,West Kelseyland,MS,66719,807-0643,TRUE,3,FALSE,E: 20-30 Days
1216,Michelle,Holloway,14391 Griffin Street,New Mathew,PR,76748,917-0049,TRUE,3,FALSE,E: 20-30 Days
1260,Manuel,Robinson,6371 Laura Summit Suite 938,New Daniel,NY,65918,823-1506,TRUE,3,FALSE,D: 14-20 Days
1264,Ryan,Norton,570 Douglas Keys Suite 772,East Saraborough,SD,18266,253-8735,TRUE,3,FALSE,E: 20-30 Days
1290,Joshua,Hubbard,41350 David Ports Apt. 712,East Miguelview,OH,48818,076-4810,TRUE,3,FALSE,E: 20-30 Days
1326,Derek,Byrd,194 Dylan Island Suite 178,East Johnstad,NE,29674,835-4871,TRUE,3,FALSE,E: 20-30 Days
1331,Kristen,Hendrix,7793 Rhonda Fall Suite 074,North Henryview,AR,83195,764-5337,TRUE,3,FALSE,E: 20-30 Days
1337,Jose,Prince,2676 Hughes Glen Apt. 035,South Trevorland,VI,29179,884-0259,TRUE,3,FALSE,E: 20-30 Days
1342,Jason,Burns,7889 Timothy Motorway Suite 393,Davidberg,NM,82048,688-2264,TRUE,3,FALSE,E: 20-30 Days
1359,Gregory,Mcdowell,0716 Shaun Islands,Aguilarland,IN,25157,400-5340,TRUE,3,FALSE,E: 20-30 Days
1390,Patrick,Shaw,00121 Tucker Course Suite 684,South Shelly,NJ,50535,944-4576,TRUE,3,FALSE,E: 20-30 Days
1420,Shannon,Dean,30464 Miller Course,New Maryland,GA,65630,131-4609,TRUE,3,FALSE,E: 20-30 Days
1427,Charles,Ramirez,13185 James Cove Suite 187,East Amyberg,DE,79417,447-7038,TRUE,3,FALSE,E: 20-30 Days
1469,Jennifer,Castillo,97786 Martin Unions Apt. 148,Wilsonstad,NC,58798,049-8706,TRUE,3,FALSE,E: 20-30 Days
1479,Patricia,Wilkinson,461 Cline Shores,Coltonmouth,AK,63625,220-0850,TRUE,3,FALSE,E: 20-30 Days
1511,April,Hill,98244 Erin Port,Kevinstad,NE,13319,969-0589,TRUE,3,FALSE,E: 20-30 Days
1523,Lisa,White,02097 Allen Course Apt. 768,Webbhaven,MP,54377,923-9705,TRUE,3,FALSE,E: 20-30 Days
1533,Mitchell,Roach,4315 Steven Expressway Apt. 865,Evanshaven,MS,18134,606-2533,TRUE,3,FALSE,E: 20-30 Days
1534,John,Hooper,60002 Heather Summit,Hardinbury,CT,76493,285-7317,TRUE,3,FALSE,E: 20-30 Days
1538,Jennifer,Smith,3207 Bowen Drive,North Heatherside,WI,39564,725-5652,TRUE,3,FALSE,E: 20-30 Days
1562,Michelle,Long,992 Hudson Square Apt. 931,Sethmouth,MH,48597,332-1435,TRUE,3,FALSE,E: 20-30 Days
1578,Tyler,Dean,8802 Nicholas Port Apt. 689,Lake Cindyfurt,VT,57852,047-9993,TRUE,3,FALSE,E: 20-30 Days
1617,Roberta,Christensen,9961 Janet Path Suite 688,East Cindy,IN,68210,436-0627,TRUE,3,FALSE,E: 20-30 Days
1665,Gregory,Anderson,1670 Steven Loop Apt. 923,South Cody,NC,68446,955-7154,TRUE,3,FALSE,E: 20-30 Days
1692,Jesse,Larson,542 Freeman Islands Suite 847,New Brandon,NV,1789,375-2463,TRUE,3,FALSE,E: 20-30 Days
1695,Katherine,Hill,327 Heather Well Apt. 795,Wrightberg,MD,54610,908-5220,TRUE,3,FALSE,E: 20-30 Days
1700,Henry,Thompson,615 Jacob Stream Apt. 093,Seanberg,WV,57593,771-0939,TRUE,3,FALSE,E: 20-30 Days
1728,Tyler,Schmidt,5386 Andrea Roads,Curtishaven,VT,55635,746-6630,TRUE,3,FALSE,E: 20-30 Days
1784,Brendan,Thompson,4533 Villa Ramp Apt. 840,Port Andrew,NE,51375,016-2697,TRUE,3,FALSE,E: 20-30 Days
1790,James,Miller,319 Garcia Extension,Lake Angela,NC,10512,741-3553,TRUE,3,FALSE,E: 20-30 Days
